postgis_fi,lat_y_dd,long_x_dd,lastsurvey,recentspec,recentstat,Nest_ID
270,40.271286,-104.680353,2011-04-06,Swainsons Hawk,INACTIVE NEST,"270"
271,40.149666,-104.871301,2015-07-27,Red-tail Hawk,INACTIVE NEST,"271"
272,40.149492,-104.8725,2015-07-27,Red-tail Hawk,FLEDGED NEST,"272"
273,40.15034,-104.872404,2015-07-27,Red-tail Hawk,ACTIVE NEST,"273"
274,40.246646,-104.730501,2011-04-06,Red-tail Hawk,INACTIVE NEST,"274"
276,40.246662,-104.731529,2011-04-06,Swainsons Hawk,INACTIVE NEST,"276"
277,40.24669,-104.728128,2011-04-06,Swainsons Hawk,ACTIVE NEST,"277"
278,40.215623,-104.650392,2011-04-06,Red-tail Hawk,INACTIVE NEST,"278"
279,40.215362,-104.650986,2011-04-06,Red-tail Hawk,ACTIVE NEST,"279"
280,40.264665,-104.665357,2011-04-06,Red-tail Hawk,ACTIVE NEST,"280"
281,40.265551,-104.666134,2011-04-06,Red-tail Hawk,ACTIVE NEST,"281"
282,40.246151,-104.711471,2011-08-02,Red-tail Hawk,INACTIVE NEST,"282"
283,39.979003,-104.960247,2011-08-02,Swainsons Hawk,INACTIVE NEST,"283"
284,39.940391,-105.024798,2011-08-02,Red-tail Hawk,ACTIVE NEST,"284"
285,40.155977,-104.637058,2011-08-02,Swainsons Hawk,ACTIVE NEST,"285"
286,40.140005,-104.675341,2015-03-19,Swainsons Hawk,ACTIVE NEST,"286"
287,40.140923,-104.676326,2015-03-19,Swainsons Hawk,ACTIVE NEST,"287"
288,40.262209,-104.677883,2011-08-02,Red-tail Hawk,FLEDGED NEST,"288"
289,40.151287,-104.73021,2014-04-08,Red-tail Hawk,INACTIVE NEST,"289"
290,40.151167,-104.729671,2014-04-08,Swainsons Hawk,ACTIVE NEST,"290"
291,40.152257,-104.668938,2011-08-02,Red-tail Hawk,INACTIVE NEST,"291"
292,40.478033,-104.594495,2011-11-07,Swainsons Hawk,INACTIVE NEST,"292"
293,40.106174,-105.041608,2011-11-07,Swainsons Hawk,INACTIVE NEST,"293"
294,40.104407,-104.981466,2011-11-07,Swainsons Hawk,INACTIVE NEST,"294"
295,40.137484,-104.859462,2011-11-07,Swainsons Hawk,FLEDGED NEST,"295"
296,40.131479,-104.930555,2011-11-07,Red-tail Hawk,ACTIVE NEST,"296"
297,40.149371,-104.713464,2015-06-02,Swainsons Hawk,ACTIVE NEST,"297"
298,40.21415,-104.902777,2011-11-07,Red-tail Hawk,ACTIVE NEST,"298"
299,40.106174,-105.041608,2011-11-07,Swainsons Hawk,INACTIVE NEST,"299"
300,40.199408,-104.989102,2011-11-07,Red-tail Hawk,ACTIVE NEST,"300"
301,40.174876,-105.002315,2011-11-07,Red-tail Hawk,INACTIVE NEST,"301"
302,40.261584,-104.692032,2011-11-07,Swainsons Hawk,INACTIVE NEST,"302"
303,40.030949,-104.693082,2011-12-29,Swainsons Hawk,ACTIVE NEST,"303"
304,40.163862,-104.584823,2011-12-29,Swainsons Hawk,ACTIVE NEST,"304"
305,40.199161,-104.916275,2011-12-29,Red-tail Hawk,INACTIVE NEST,"305"
306,40.36628,-104.6398,2011-12-29,Red-tail Hawk,ACTIVE NEST,"306"
307,40.178074,-104.858927,2015-04-03,Red-tail Hawk,ACTIVE NEST,"307"
308,40.318213,-104.818666,2011-12-29,Swainsons Hawk,INACTIVE NEST,"308"
309,40.152794,-104.80164,2011-12-29,Red-tail Hawk,ACTIVE NEST,"309"
310,40.100899,-104.783573,2015-06-02,Swainsons Hawk,ACTIVE NEST,"310"
